Game,Ruleset,GameRuleset,Top Agent,Top Score
Connect Four,,Connect_Four-,UCT,86.5
Connect6,,Connect6-,AlphaBeta,100.0
Dai Hasami Shogi,,Dai_Hasami_Shogi-,AlphaBeta,94.0
Dala,,Dala-,AlphaBeta,99.0
Dara,,Dara-,AlphaBeta,85.0
Dig Dig,,Dig_Dig-,UCT,68.5
Djara-Badakh,,Djara-Badakh-,UCT,67.0
Dra,,Dra-,AlphaBeta,86.0
Driesticken,,Driesticken-,ProgressiveHistory,77.5
Dris at-Talata,,Dris_at-Talata-,AlphaBeta,78.5
Engijn Zirge,,Engijn_Zirge-,MAST,66.5
Epelle,,Epelle-,AlphaBeta,66.0
Fanorona Telo,,Fanorona_Telo-,ProgressiveHistory,67.0
Fivalath,,Fivalath-,MC-GRAVE,77.0
Five Men's Morris,Ruleset/Murray (Suggested),Five_Mens_Morris-Murray,AlphaBeta,94.5
Five Men's Morris,Ruleset/Cyningstan (Suggested),Five_Mens_Morris-Cyningstan,AlphaBeta,89.0
Gomoku,,Gomoku-,AlphaBeta,89.0
Gurgaldaj,,Gurgaldaj-,AlphaBeta,82.5
Janes Soppi (Alignment),,Janes_Soppi_Alignment-,AlphaBeta,88.0
Jeson Zam,,Jeson_Zam-,AlphaBeta,67.0
Keryo-Pente,,Keryo-Pente-,AlphaBeta,100.0
